epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
112,1325.41,2.4837,1.3275,0.0013,0.44136,0.41964,0.31401,0.09536,2.91732,2.17114,0.00232,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
113,1337.04,2.58903,1.37124,0.00136,0.52479,0.38948,0.35779,0.11099,2.908,2.15506,0.0023,0.0277824,0.0092608,0.0277824,0.0092608,0.0277824,0.0092608,0.0277824,0.0092608
114,1348.66,2.56972,1.27503,0.0014,0.55596,0.39286,0.36983,0.11577,2.87605,2.01921,0.00231,0.0277626,0.0092542,0.0277626,0.0092542,0.0277626,0.0092542,0.0277626,0.0092542
115,1360.29,2.59497,1.32798,0.00133,0.50215,0.40179,0.37571,0.10776,2.96078,1.76932,0.00241,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
116,1372.02,2.61354,1.34343,0.00135,0.55334,0.39286,0.38103,0.11402,2.81948,1.96979,0.00222,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
117,1383.63,2.57535,1.35989,0.00133,0.51823,0.41518,0.3471,0.11506,2.86172,1.8034,0.00226,0.0277032,0.0092344,0.0277032,0.0092344,0.0277032,0.0092344,0.0277032,0.0092344
118,1395.26,2.66152,1.31623,0.00136,0.52507,0.42411,0.32906,0.09887,3.06046,1.57878,0.00239,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
119,1406.88,2.53739,1.23727,0.0013,0.5414,0.36161,0.34519,0.10136,2.94189,1.73265,0.00233,0.0276636,0.0092212,0.0276636,0.0092212,0.0276636,0.0092212,0.0276636,0.0092212
120,1418.58,2.63627,1.34569,0.0014,0.49841,0.44643,0.40668,0.12351,2.84563,1.77509,0.00226,0.0276438,0.0092146,0.0276438,0.0092146,0.0276438,0.0092146,0.0276438,0.0092146
121,1430.21,2.58352,1.3566,0.00138,0.56188,0.44196,0.40545,0.12134,2.9035,1.76189,0.00231,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
