epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,89734.5,2.39649,1.33396,0.769,0.50872,0.27857,0.27411,0.08408,1.92171,1.26554,0.63172,0.006733,0.006733,0.006733
167,90274.7,2.31143,1.48931,0.72565,0.42256,0.31429,0.26516,0.07929,1.87284,1.16895,0.64044,0.0067132,0.0067132,0.0067132
168,90814.4,2.26288,1.42152,0.73963,0.48519,0.34286,0.32489,0.09295,1.83465,1.13332,0.62812,0.0066934,0.0066934,0.0066934
169,91353.5,2.4221,1.58624,0.74175,0.44935,0.32857,0.3143,0.08591,1.81717,1.06258,0.61775,0.0066736,0.0066736,0.0066736
170,91896.3,2.39729,1.44049,0.73729,0.41887,0.32857,0.30066,0.08651,1.83653,1.09981,0.64373,0.0066538,0.0066538,0.0066538
171,92436.4,2.49139,1.44983,0.77226,0.43344,0.32857,0.28342,0.08877,1.81817,1.10984,0.64753,0.006634,0.006634,0.006634
172,92978.7,2.29897,1.23831,0.69971,0.40601,0.29286,0.26047,0.08503,1.90096,1.14678,0.64827,0.0066142,0.0066142,0.0066142
173,93519.8,2.51084,1.53134,0.75733,0.40703,0.3,0.28153,0.09056,1.81308,1.01836,0.63017,0.0065944,0.0065944,0.0065944
174,94060.3,2.38883,1.46317,0.77187,0.39767,0.34286,0.28387,0.0871,1.81347,1.07031,0.64003,0.0065746,0.0065746,0.0065746
175,94601.6,2.49617,1.45871,0.77556,0.4595,0.38571,0.29036,0.09034,1.83616,1.05539,0.64105,0.0065548,0.0065548,0.0065548
176,95142.7,2.34436,1.42229,0.74358,0.39127,0.32143,0.24432,0.07562,1.95716,1.1716,0.63536,0.006535,0.006535,0.006535
177,95683.9,2.31437,1.37888,0.75353,0.41851,0.32143,0.26787,0.08463,1.96738,1.12925,0.64763,0.0065152,0.0065152,0.0065152
178,96224.2,2.43956,1.45253,0.74557,0.56527,0.29286,0.30843,0.09399,1.86937,1.09471,0.63082,0.0064954,0.0064954,0.0064954
179,96764.9,2.25207,1.45615,0.73295,0.39106,0.30276,0.29417,0.08398,1.96795,1.10573,0.63606,0.0064756,0.0064756,0.0064756
